PIPELINE_NAME,MAPPING_DIR,BAMS_DIR,UNFILTERED_DIR,FILTERED_DIR,ANNOTATED_DIR,VQSR_ANNOTATIONS_SNP,VQSR_ANNOTATIONS_INDEL,MAX_GAUSSIANS_SNP,MAX_GAUSSIANS_INDEL,VQSR_TRAINING,VQSR_PRIOR,MIN_QUAL,MAX_QUAL
default,bwa_mem,gatk_rec,HaplotypeCaller,crosses_truth,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,4,crosses,15,,
no_QD_indel,bwa_mem,gatk_rec,HaplotypeCaller,no_QD_indel,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an DP -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,4,crosses,15,,
no_DP_indel,bwa_mem,gatk_rec,HaplotypeCaller,no_DP_indel,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,4,crosses,15,,
no_FS_indel,bwa_mem,gatk_rec,HaplotypeCaller,no_FS_indel,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an SOR -an ReadPosRankSum -an MQRankSum""",8,4,crosses,15,,
no_SOR_indel,bwa_mem,gatk_rec,HaplotypeCaller,no_SOR_indel,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an ReadPosRankSum -an MQRankSum""",8,4,crosses,15,,
no_ReadPosRankSum_indel,bwa_mem,gatk_rec,HaplotypeCaller,no_ReadPosRankSum_indel,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an MQRankSum""",8,4,crosses,15,,
no_MQRankSum_indel,bwa_mem,gatk_rec,HaplotypeCaller,no_MQRankSum_indel,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an ReadPosRankSum""",8,4,crosses,15,,
max_gauss_indel_5,bwa_mem,gatk_rec,HaplotypeCaller,max_gauss_indel_5,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,5,crosses,15,,
max_gauss_indel_6,bwa_mem,gatk_rec,HaplotypeCaller,max_gauss_indel_6,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,6,crosses,15,,
max_gauss_indel_8,bwa_mem,gatk_rec,HaplotypeCaller,max_gauss_indel_8,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,8,crosses,15,,
vqsr_prior_5,bwa_mem,gatk_rec,HaplotypeCaller,vqsr_prior_5,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,4,crosses,5,,
vqsr_prior_10,bwa_mem,gatk_rec,HaplotypeCaller,vqsr_prior_10,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,4,crosses,10,,
vqsr_prior_20,bwa_mem,gatk_rec,HaplotypeCaller,vqsr_prior_20,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,4,crosses,20,,
qual_5000,bwa_mem,gatk_rec,HaplotypeCaller,crosses_truth,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,4,qual,15,5000,
qual_4000_11000,bwa_mem,gatk_rec,HaplotypeCaller,crosses_truth,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,4,qual,15,4000,11000
non_frameshift,bwa_mem,gatk_rec,HaplotypeCaller,crosses_truth,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,4,non_frameshift,15,,
cortex_training,bwa_mem,gatk_rec,HaplotypeCaller,crosses_truth,SnpEff_region,"""-an QD -an MQ -an MQRankSum -an ReadPosRankSum -an FS -an SOR -an DP""","""-an QD -an DP -an FS -an SOR -an ReadPosRankSum -an MQRankSum""",8,4,cortex,15,,
